Run time (s);Round;Exception;deadline;Agreement;Discounted;#agreeing;min.util.;max.util.;Dist. to Pareto;Dist. to Nash;Social Welfare;Agent 1;Agent 2;Agent 3;Utility 1;Utility 2;Utility 3;Disc. Util. 1;Disc. Util. 2;Disc. Util. 3;Perceived. Util. 1;Perceived. Util. 2;Perceived. Util. 3;User Bother 1;User Bother 2;User Bother 3;User Util. 1;User Util. 2;User Util. 3;Profile 1;Profile 2;Profile 3
1.374;61;;60rounds;No;No;1;0.00000;0.00000;117.887;143.306;0.00000;boa-C..Users.Gustavo.Luchetti.Documents.Git.Repos.uu.mas.agent.out.production.uu.mas.agent.bilateralexamples.Group7_BS-C..Users.Gustavo.Luchetti.Documents.Git.Repos.uu.mas.agent.out.production.uu.mas.agent.bilateralexamples.Group7_AS_first reservation value_abs_thresh_amount of opponent bids used_time to start declining_rate of decline-negotiator.boaframework.opponentmodel.IAMhagglerBayesianModel_b_u-negotiator.boaframework.omstrategy.BestBid_t@6;boa-C..Users.Gustavo.Luchetti.Documents.Git.Repos.uu.mas.agent.out.production.uu.mas.agent.bilateralexamples.Group7_BS-C..Users.Gustavo.Luchetti.Documents.Git.Repos.uu.mas.agent.out.production.uu.mas.agent.bilateralexamples.Group7_AS_first reservation value_abs_thresh_amount of opponent bids used_time to start declining_rate of decline-negotiator.boaframework.opponentmodel.IAMhagglerBayesianModel_b_u-negotiator.boaframework.omstrategy.BestBid_t@7;boa-C..Users.Gustavo.Luchetti.Documents.Git.Repos.uu.mas.agent.out.production.uu.mas.agent.bilateralexamples.Group7_BS-C..Users.Gustavo.Luchetti.Documents.Git.Repos.uu.mas.agent.out.production.uu.mas.agent.bilateralexamples.Group7_AS_first reservation value_abs_thresh_amount of opponent bids used_time to start declining_rate of decline-negotiator.boaframework.opponentmodel.IAMhagglerBayesianModel_b_u-negotiator.boaframework.omstrategy.BestBid_t@8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;party1_utility.xml;party3_utility.xml;party5_utility.xml
2.220;61;;60rounds;No;No;1;0.00000;0.00000;117.887;143.306;0.00000;NiceTitForTat@9;boa-C..Users.Gustavo.Luchetti.Documents.Git.Repos.uu.mas.agent.out.production.uu.mas.agent.bilateralexamples.Group7_BS-C..Users.Gustavo.Luchetti.Documents.Git.Repos.uu.mas.agent.out.production.uu.mas.agent.bilateralexamples.Group7_AS_first reservation value_abs_thresh_amount of opponent bids used_time to start declining_rate of decline-negotiator.boaframework.opponentmodel.IAMhagglerBayesianModel_b_u-negotiator.boaframework.omstrategy.BestBid_t@10;boa-C..Users.Gustavo.Luchetti.Documents.Git.Repos.uu.mas.agent.out.production.uu.mas.agent.bilateralexamples.Group7_BS-C..Users.Gustavo.Luchetti.Documents.Git.Repos.uu.mas.agent.out.production.uu.mas.agent.bilateralexamples.Group7_AS_first reservation value_abs_thresh_amount of opponent bids used_time to start declining_rate of decline-negotiator.boaframework.opponentmodel.IAMhagglerBayesianModel_b_u-negotiator.boaframework.omstrategy.BestBid_t@11;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;party1_utility.xml;party3_utility.xml;party5_utility.xml
;61;Session genius.core.session.Session@476eb1fc failed: Failed to execute protocol: Execution failed of boa-C..Users.Gustavo.Luchetti.Documents.Git.Repos.uu.mas.agent.out.production.uu.mas.agent.bilateralexamples.Group7_BS-C..Users.Gustavo.Luchetti.Documents.Git.Repos.uu.mas.agent.out.production.uu.mas.agent.bilateralexamples.Group7_AS_first reservation value_abs_thresh_amount of opponent bids used_time to start declining_rate of decline-negotiator.boaframework.opponentmodel.IAMhagglerBayesianModel_b_u-negotiator.boaframework.omstrategy.BestBid_t@13:java.lang.ClassCastException: genius.core.actions.Accept cannot be cast to genius.core.actions.Offer: genius.core.actions.Accept cannot be cast to genius.core.actions.Offer:[agents.anac.y2015.JonnyBlack.JonnyBlack, boa-C..Users.Gustavo.Luchetti.Documents.Git.Repos.uu.mas.agent.out.production.uu.mas.agent.bilateralexamples.Group7_BS-C..Users.Gustavo.Luchetti.Documents.Git.Repos.uu.mas.agent.out.production.uu.mas.agent.bilateralexamples.Group7_AS_first reservation value_abs_thresh_amount of opponent bids used_time to start declining_rate of decline-negotiator.boaframework.opponentmodel.IAMhagglerBayesianModel_b_u-negotiator.boaframework.omstrategy.BestBid_t, boa-C..Users.Gustavo.Luchetti.Documents.Git.Repos.uu.mas.agent.out.production.uu.mas.agent.bilateralexamples.Group7_BS-C..Users.Gustavo.Luchetti.Documents.Git.Repos.uu.mas.agent.out.production.uu.mas.agent.bilateralexamples.Group7_AS_first reservation value_abs_thresh_amount of opponent bids used_time to start declining_rate of decline-negotiator.boaframework.opponentmodel.IAMhagglerBayesianModel_b_u-negotiator.boaframework.omstrategy.BestBid_t];60rounds;No;;0;;;;;;JonnyBlack;boa-C..Users.Gustavo.Luchetti.Documents.Git.Repos.uu.mas.agent.out.production.uu.mas.agent.bilateralexamples.Group7_BS-C..Users.Gustavo.Luchetti.Documents.Git.Repos.uu.mas.agent.out.production.uu.mas.agent.bilateralexamples.Group7_AS_first reservation value_abs_thresh_amount of opponent bids used_time to start declining_rate of decline-negotiator.boaframework.opponentmodel.IAMhagglerBayesianModel_b_u-negotiator.boaframework.omstrategy.BestBid_t;boa-C..Users.Gustavo.Luchetti.Documents.Git.Repos.uu.mas.agent.out.production.uu.mas.agent.bilateralexamples.Group7_BS-C..Users.Gustavo.Luchetti.Documents.Git.Repos.uu.mas.agent.out.production.uu.mas.agent.bilateralexamples.Group7_AS_first reservation value_abs_thresh_amount of opponent bids used_time to start declining_rate of decline-negotiator.boaframework.opponentmodel.IAMhagglerBayesianModel_b_u-negotiator.boaframework.omstrategy.BestBid_t;0.0;0.0;0.0;0.0;0.0;0.0;;;;;;;;;;party1_utility;party3_utility;party5_utility
;59;Session genius.core.session.Session@4ba07a2d failed: Failed to execute protocol: null:[boa-C..Users.Gustavo.Luchetti.Documents.Git.Repos.uu.mas.agent.out.production.uu.mas.agent.bilateralexamples.Group7_BS-C..Users.Gustavo.Luchetti.Documents.Git.Repos.uu.mas.agent.out.production.uu.mas.agent.bilateralexamples.Group7_AS_first reservation value_abs_thresh_amount of opponent bids used_time to start declining_rate of decline-negotiator.boaframework.opponentmodel.IAMhagglerBayesianModel_b_u-negotiator.boaframework.omstrategy.BestBid_t, agents.anac.y2011.Nice_Tit_for_Tat.NiceTitForTat, boa-C..Users.Gustavo.Luchetti.Documents.Git.Repos.uu.mas.agent.out.production.uu.mas.agent.bilateralexamples.Group7_BS-C..Users.Gustavo.Luchetti.Documents.Git.Repos.uu.mas.agent.out.production.uu.mas.agent.bilateralexamples.Group7_AS_first reservation value_abs_thresh_amount of opponent bids used_time to start declining_rate of decline-negotiator.boaframework.opponentmodel.IAMhagglerBayesianModel_b_u-negotiator.boaframework.omstrategy.BestBid_t];60rounds;No;;0;;;;;;boa-C..Users.Gustavo.Luchetti.Documents.Git.Repos.uu.mas.agent.out.production.uu.mas.agent.bilateralexamples.Group7_BS-C..Users.Gustavo.Luchetti.Documents.Git.Repos.uu.mas.agent.out.production.uu.mas.agent.bilateralexamples.Group7_AS_first reservation value_abs_thresh_amount of opponent bids used_time to start declining_rate of decline-negotiator.boaframework.opponentmodel.IAMhagglerBayesianModel_b_u-negotiator.boaframework.omstrategy.BestBid_t;NiceTitForTat;boa-C..Users.Gustavo.Luchetti.Documents.Git.Repos.uu.mas.agent.out.production.uu.mas.agent.bilateralexamples.Group7_BS-C..Users.Gustavo.Luchetti.Documents.Git.Repos.uu.mas.agent.out.production.uu.mas.agent.bilateralexamples.Group7_AS_first reservation value_abs_thresh_amount of opponent bids used_time to start declining_rate of decline-negotiator.boaframework.opponentmodel.IAMhagglerBayesianModel_b_u-negotiator.boaframework.omstrategy.BestBid_t;0.0;0.0;0.0;0.0;0.0;0.0;;;;;;;;;;party1_utility;party3_utility;party5_utility
;61;Session genius.core.session.Session@334e515c failed: Failed to execute protocol: null:[agents.anac.y2011.Nice_Tit_for_Tat.NiceTitForTat, agents.anac.y2011.Nice_Tit_for_Tat.NiceTitForTat, boa-C..Users.Gustavo.Luchetti.Documents.Git.Repos.uu.mas.agent.out.production.uu.mas.agent.bilateralexamples.Group7_BS-C..Users.Gustavo.Luchetti.Documents.Git.Repos.uu.mas.agent.out.production.uu.mas.agent.bilateralexamples.Group7_AS_first reservation value_abs_thresh_amount of opponent bids used_time to start declining_rate of decline-negotiator.boaframework.opponentmodel.IAMhagglerBayesianModel_b_u-negotiator.boaframework.omstrategy.BestBid_t];60rounds;No;;0;;;;;;NiceTitForTat;NiceTitForTat;boa-C..Users.Gustavo.Luchetti.Documents.Git.Repos.uu.mas.agent.out.production.uu.mas.agent.bilateralexamples.Group7_BS-C..Users.Gustavo.Luchetti.Documents.Git.Repos.uu.mas.agent.out.production.uu.mas.agent.bilateralexamples.Group7_AS_first reservation value_abs_thresh_amount of opponent bids used_time to start declining_rate of decline-negotiator.boaframework.opponentmodel.IAMhagglerBayesianModel_b_u-negotiator.boaframework.omstrategy.BestBid_t;0.0;0.0;0.0;0.0;0.0;0.0;;;;;;;;;;party1_utility;party3_utility;party5_utility
;61;Session genius.core.session.Session@3ccb1068 failed: Failed to execute protocol: Execution failed of NiceTitForTat@22:java.lang.ClassCastException: genius.core.actions.Accept cannot be cast to genius.core.actions.Offer: genius.core.actions.Accept cannot be cast to genius.core.actions.Offer:[agents.anac.y2015.JonnyBlack.JonnyBlack, agents.anac.y2011.Nice_Tit_for_Tat.NiceTitForTat, boa-C..Users.Gustavo.Luchetti.Documents.Git.Repos.uu.mas.agent.out.production.uu.mas.agent.bilateralexamples.Group7_BS-C..Users.Gustavo.Luchetti.Documents.Git.Repos.uu.mas.agent.out.production.uu.mas.agent.bilateralexamples.Group7_AS_first reservation value_abs_thresh_amount of opponent bids used_time to start declining_rate of decline-negotiator.boaframework.opponentmodel.IAMhagglerBayesianModel_b_u-negotiator.boaframework.omstrategy.BestBid_t];60rounds;No;;0;;;;;;JonnyBlack;NiceTitForTat;boa-C..Users.Gustavo.Luchetti.Documents.Git.Repos.uu.mas.agent.out.production.uu.mas.agent.bilateralexamples.Group7_BS-C..Users.Gustavo.Luchetti.Documents.Git.Repos.uu.mas.agent.out.production.uu.mas.agent.bilateralexamples.Group7_AS_first reservation value_abs_thresh_amount of opponent bids used_time to start declining_rate of decline-negotiator.boaframework.opponentmodel.IAMhagglerBayesianModel_b_u-negotiator.boaframework.omstrategy.BestBid_t;0.0;0.0;0.0;0.0;0.0;0.0;;;;;;;;;;party1_utility;party3_utility;party5_utility
;59;Session genius.core.session.Session@1a878c9d failed: Failed to execute protocol: Execution failed of boa-C..Users.Gustavo.Luchetti.Documents.Git.Repos.uu.mas.agent.out.production.uu.mas.agent.bilateralexamples.Group7_BS-C..Users.Gustavo.Luchetti.Documents.Git.Repos.uu.mas.agent.out.production.uu.mas.agent.bilateralexamples.Group7_AS_first reservation value_abs_thresh_amount of opponent bids used_time to start declining_rate of decline-negotiator.boaframework.opponentmodel.IAMhagglerBayesianModel_b_u-negotiator.boaframework.omstrategy.BestBid_t@24:java.lang.ClassCastException: genius.core.actions.Accept cannot be cast to genius.core.actions.Offer: genius.core.actions.Accept cannot be cast to genius.core.actions.Offer:[boa-C..Users.Gustavo.Luchetti.Documents.Git.Repos.uu.mas.agent.out.production.uu.mas.agent.bilateralexamples.Group7_BS-C..Users.Gustavo.Luchetti.Documents.Git.Repos.uu.mas.agent.out.production.uu.mas.agent.bilateralexamples.Group7_AS_first reservation value_abs_thresh_amount of opponent bids used_time to start declining_rate of decline-negotiator.boaframework.opponentmodel.IAMhagglerBayesianModel_b_u-negotiator.boaframework.omstrategy.BestBid_t, agents.anac.y2015.JonnyBlack.JonnyBlack, boa-C..Users.Gustavo.Luchetti.Documents.Git.Repos.uu.mas.agent.out.production.uu.mas.agent.bilateralexamples.Group7_BS-C..Users.Gustavo.Luchetti.Documents.Git.Repos.uu.mas.agent.out.production.uu.mas.agent.bilateralexamples.Group7_AS_first reservation value_abs_thresh_amount of opponent bids used_time to start declining_rate of decline-negotiator.boaframework.opponentmodel.IAMhagglerBayesianModel_b_u-negotiator.boaframework.omstrategy.BestBid_t];60rounds;No;;0;;;;;;boa-C..Users.Gustavo.Luchetti.Documents.Git.Repos.uu.mas.agent.out.production.uu.mas.agent.bilateralexamples.Group7_BS-C..Users.Gustavo.Luchetti.Documents.Git.Repos.uu.mas.agent.out.production.uu.mas.agent.bilateralexamples.Group7_AS_first reservation value_abs_thresh_amount of opponent bids used_time to start declining_rate of decline-negotiator.boaframework.opponentmodel.IAMhagglerBayesianModel_b_u-negotiator.boaframework.omstrategy.BestBid_t;JonnyBlack;boa-C..Users.Gustavo.Luchetti.Documents.Git.Repos.uu.mas.agent.out.production.uu.mas.agent.bilateralexamples.Group7_BS-C..Users.Gustavo.Luchetti.Documents.Git.Repos.uu.mas.agent.out.production.uu.mas.agent.bilateralexamples.Group7_AS_first reservation value_abs_thresh_amount of opponent bids used_time to start declining_rate of decline-negotiator.boaframework.opponentmodel.IAMhagglerBayesianModel_b_u-negotiator.boaframework.omstrategy.BestBid_t;0.0;0.0;0.0;0.0;0.0;0.0;;;;;;;;;;party1_utility;party3_utility;party5_utility
;61;Session genius.core.session.Session@6f13eff8 failed: Failed to execute protocol: Execution failed of NiceTitForTat@27:java.lang.ClassCastException: genius.core.actions.Accept cannot be cast to genius.core.actions.Offer: genius.core.actions.Accept cannot be cast to genius.core.actions.Offer:[agents.anac.y2011.Nice_Tit_for_Tat.NiceTitForTat, agents.anac.y2015.JonnyBlack.JonnyBlack, boa-C..Users.Gustavo.Luchetti.Documents.Git.Repos.uu.mas.agent.out.production.uu.mas.agent.bilateralexamples.Group7_BS-C..Users.Gustavo.Luchetti.Documents.Git.Repos.uu.mas.agent.out.production.uu.mas.agent.bilateralexamples.Group7_AS_first reservation value_abs_thresh_amount of opponent bids used_time to start declining_rate of decline-negotiator.boaframework.opponentmodel.IAMhagglerBayesianModel_b_u-negotiator.boaframework.omstrategy.BestBid_t];60rounds;No;;0;;;;;;NiceTitForTat;JonnyBlack;boa-C..Users.Gustavo.Luchetti.Documents.Git.Repos.uu.mas.agent.out.production.uu.mas.agent.bilateralexamples.Group7_BS-C..Users.Gustavo.Luchetti.Documents.Git.Repos.uu.mas.agent.out.production.uu.mas.agent.bilateralexamples.Group7_AS_first reservation value_abs_thresh_amount of opponent bids used_time to start declining_rate of decline-negotiator.boaframework.opponentmodel.IAMhagglerBayesianModel_b_u-negotiator.boaframework.omstrategy.BestBid_t;0.0;0.0;0.0;0.0;0.0;0.0;;;;;;;;;;party1_utility;party3_utility;party5_utility
;25;Session genius.core.session.Session@56c0dcd5 failed: Failed to execute protocol: Execution failed of JonnyBlack@31:java.lang.ClassCastException: genius.core.actions.Accept cannot be cast to genius.core.actions.Offer: genius.core.actions.Accept cannot be cast to genius.core.actions.Offer:[agents.anac.y2015.JonnyBlack.JonnyBlack, agents.anac.y2015.JonnyBlack.JonnyBlack, boa-C..Users.Gustavo.Luchetti.Documents.Git.Repos.uu.mas.agent.out.production.uu.mas.agent.bilateralexamples.Group7_BS-C..Users.Gustavo.Luchetti.Documents.Git.Repos.uu.mas.agent.out.production.uu.mas.agent.bilateralexamples.Group7_AS_first reservation value_abs_thresh_amount of opponent bids used_time to start declining_rate of decline-negotiator.boaframework.opponentmodel.IAMhagglerBayesianModel_b_u-negotiator.boaframework.omstrategy.BestBid_t];60rounds;No;;0;;;;;;JonnyBlack;JonnyBlack;boa-C..Users.Gustavo.Luchetti.Documents.Git.Repos.uu.mas.agent.out.production.uu.mas.agent.bilateralexamples.Group7_BS-C..Users.Gustavo.Luchetti.Documents.Git.Repos.uu.mas.agent.out.production.uu.mas.agent.bilateralexamples.Group7_AS_first reservation value_abs_thresh_amount of opponent bids used_time to start declining_rate of decline-negotiator.boaframework.opponentmodel.IAMhagglerBayesianModel_b_u-negotiator.boaframework.omstrategy.BestBid_t;0.0;0.0;0.0;0.0;0.0;0.0;;;;;;;;;;party1_utility;party3_utility;party5_utility
1.845;61;;60rounds;No;No;2;0.00000;0.00000;117.887;143.306;0.00000;boa-C..Users.Gustavo.Luchetti.Documents.Git.Repos.uu.mas.agent.out.production.uu.mas.agent.bilateralexamples.Group7_BS-C..Users.Gustavo.Luchetti.Documents.Git.Repos.uu.mas.agent.out.production.uu.mas.agent.bilateralexamples.Group7_AS_first reservation value_abs_thresh_amount of opponent bids used_time to start declining_rate of decline-negotiator.boaframework.opponentmodel.IAMhagglerBayesianModel_b_u-negotiator.boaframework.omstrategy.BestBid_t@33;boa-C..Users.Gustavo.Luchetti.Documents.Git.Repos.uu.mas.agent.out.production.uu.mas.agent.bilateralexamples.Group7_BS-C..Users.Gustavo.Luchetti.Documents.Git.Repos.uu.mas.agent.out.production.uu.mas.agent.bilateralexamples.Group7_AS_first reservation value_abs_thresh_amount of opponent bids used_time to start declining_rate of decline-negotiator.boaframework.opponentmodel.IAMhagglerBayesianModel_b_u-negotiator.boaframework.omstrategy.BestBid_t@34;NiceTitForTat@35;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;party1_utility.xml;party3_utility.xml;party5_utility.xml
2.743;61;;60rounds;No;No;2;0.00000;0.00000;117.887;143.306;0.00000;NiceTitForTat@36;boa-C..Users.Gustavo.Luchetti.Documents.Git.Repos.uu.mas.agent.out.production.uu.mas.agent.bilateralexamples.Group7_BS-C..Users.Gustavo.Luchetti.Documents.Git.Repos.uu.mas.agent.out.production.uu.mas.agent.bilateralexamples.Group7_AS_first reservation value_abs_thresh_amount of opponent bids used_time to start declining_rate of decline-negotiator.boaframework.opponentmodel.IAMhagglerBayesianModel_b_u-negotiator.boaframework.omstrategy.BestBid_t@37;NiceTitForTat@38;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;party1_utility.xml;party3_utility.xml;party5_utility.xml
